Column1	Column2
1987	tiềng trông mê linh ; bìa và minh_họa của tham đức tụ . in lần thứ 2 .
1987	theo bác đi chiên dịch : kỷ_niệm của những người chibn sĩ cánh vệ của bác .
1987	anh_hùng lưc lựợng vũ_trang nhân_dân
1987	ánh lửa : tập truyện_ký
1987	ánh lửa trong đôi mắt : tập truyện_ngắn và ký [ của ] nhiểu tác_giả .
1987	điệu hát nguổn sáng và đẫt : thơ .
1987	trăng tháng_chạp : tập truyện_ngắn .
1987	ngày_mai dã đền : tập truyện_ngắn .
1987	tiềng gọi : tập truyện ngán .
1987	 thực tè không phô_trương , 
1987	avo óc hổ : hổi ký
1987	 33truyện ngấn chọn_lọc , 1945 1975 
1987	35năm chiền đâu vả xây_dựng
1987	ba ngày lễ lớn năm 1980 ; để cương tuyển truyện
1987	bác hổ kính_yêu
1987	bác hổ với văn_nghệ_sĩ : hổi ký ; lữ huy nguyên sưu_tầm và biên_soạn .
1987	bắc kinh : đường lôi bá quyển và sô_vanh
1987	quôc văn tổng giảng : tú_tài abcd ( dành riêng cho tú tải cd tự_do )
1987	bài ca biên_phòng : tập thơ
1987	 bài_tập hỉnh học : lóp mười_hai phố thông , hệ 12 năm 
1987	 balzac , honoré de 
1987	người du_kích năm_xưa .
1987	từ mảnh đẫt này : truyện_ký .
1987	nơi ta ỏr . to ỏng bua diêm .
1987	cái hay của tiêng việt qua tục ngử ca_dao : binh kháo ngôn_ngữ văn_học_dân_gian .
1987	 báng đôi chiều một sô danh_từ y tè anh việt dành cho các thông_dịch_viên . a short glossary of australian health terms for interpreters and translators of viet namese . dịch giá , trẩn văn thịnh and others ' , soạn tháo viên , d . l . sang , 
1987	bắn rơi tại_chỗ máy_bay b . 52 : hổi ký .
1987	hổn nhiên : thơ .
1987	đầt sau mưa : thơ .
1987	mô da .
1987	 đêm bền tre của bảnh châu , bạch điệp . mồi tình đẩu của hoàng tích chỉ , hái ninh . 
1987	 nắng mới [ cúa ] bảnh châu . bức tường không xây : tập truyện_phim [ của ] vũ lê mai , khắc lợi , dương đỉnh bá . 
1987	 tục_ngữ , ca_dao [ i . e . và ] dân_ca . 
1987	 việt nam thường_thức , hay_là , những điểu cần biềt vể đẫt nước và nòi giông việt nam . 
1987	giai_thọai câu đôi .
1987	con đường xây_dựng nẽn kinh tề mới : nghiên_cứu văn_kiện đại_hội đảng lẩn thứ iv .
1987	lứa rừng đêm : tiểu thuyềt lịch_sử .
1987	mẵy vằn để văn_nghệ yêu nước và cách_mạng .
1987	bão tháng_giêng : tập truyện và ký
1987	sách sổ sang chép các việc ; thanh lãng giới_thiệu .
1987	đối đời . in lần 1 .
1987	pn4151
1987	bóng_mát cuộc_đời
1987	ban_mai ; tiểu thuyềt .
1987	chuyện pren và si va ; bia và minh_họa của huy toàn .
1987	mặt_trời trên đinh thác : tiểu thuyẽt .
1987	mùa mưa đền sớm : tập truyện .
1987	 tây_nguyên mùa cây : bút ký và ghi_chép , 
1987	góp phẩn tìm_hiểu nghệ_thuật thơ_ca .
1987	nghệ_thuật ngâm thơ .
1987	đường lớn : ký_sự . in lẩn thứ 1 .
1987	một cuộc_đời : truyện_ký .
1987	cây lúa việt nam .
1987	lúa việt nam trong vùng nam và đông_nam châu_á .
1987	quồc vãn cụ thế . in lần thứ 2 .
1987	 sen tháp mười : ca_dao miển nam vể chủ_tịch hổ chí minh , 
1987	hổi đó ở sa kỳ ; tiểu thuyềt ; bia và minh_họa của ái nhi
1987	từ_điển việt anh .
1987	nguyễn trãi .
1987	biểu nhăt lãm áp_dụng cho lịch sứ việt nam
1987	những cơn mưa trồ ' vể . người việt in lần thứ 1 .
1987	cuộc khỏi nghĩa hai bà trưng dưới mắt sử_gia .
1987	nước việt nam trên con đường suy_vong ( 1858 1884 ) .
1987	câu đồ vui : cũ vả mới .
1987	chủ_nghĩa_yêu_nước trong vãn học thời khỏi nghĩa lam sơn .
1987	bùng_nổ vì việt nam
1987	bước_ngoặt : tập kịch_bản ngắn
1987	đêm vể sáng : truyện_ký .
1987	pháo_đài đổng bằng : tiếu thuyềt .
1987	hán việt thành_ngữ . lexique des expres sions sino vietnamiennes usuelles . in lần thứ 2 .
1987	cá biển việt nam
1987	ca_dao chông mỹ cứu nước : chọn_lọc [ của ] sưu_tập và biên_soạn trần quang nhật ; giới_thiệu hà minh đức .
1987	ca_dao việt nam trước cách_mạng : sưu tẩm trong những năm 1961/1962 .
1987	ca_kịch lịch sứ
1987	các điển hỉnh tiển tiền và phong_trào quần_chúng trong sự_nghiệp giáo_dục .
1987	 các mác , sức sông mùa xuân của tương_lai others . 
1987	các nước đông_nam á
1987	các tinh và thành phô nước ta
1987	 các vẫn để môi_trường : báo_cáo khoa_học tại loạt hội_thảo ; do úy ban khoa_học và kỹ_thuật nhà_nước and others ; phôi hợp tổ_chức vào tháng 4 , 5 , 6 1982 tại hà_nội . hà nọi [ s . n . 
1987	 cách_mạng_khoa_học kỹ_thuật ỏ trên thề giới và ỏ  " việt nam : thư_mục chuyên để . "
1987	cách_mạng tháng mười
1987	cách_mạng tháng tám ( 1945 )
1987	cách_mạng và khoa_học : nghiên_cứu văn_kiện đại_hội đảngìãn thứ iv .
1987	cái đẹp
1987	 cải tiền công_tác khoán , m < y rộng khoán sán phẩm trong hợp_tác_xã nông_nghiệp , 
1987	sắc biển : thơ . in lần thứ 1 .
1987	cẩm_nang của cầp chỉ_huy
1987	 cam pu chia , thắng_lợi cùa một cuộc cách_mạng chân_chính . 
1987	 người thái ỏ  " tây bắc việt nam . "
1987	kinh na tiên tỳ kheo . in lần thứ 1 .
1987	 lịch triểu tạp kỷ cùa người biên_soạn , cao lãng ; người bổ_sung , xién trai ; hoa bằng dịch và chú giái ; văn tân hiệu_đính . 
1987	thử tìm dẫu chân trên cát : ghi_chép vẽ thơ nhẫt hạnh . in lẩn thứ 1 .
1987	tội ặc và di_hại : tội_ác mỹ ngụy sau hiệp_định pa ri .
1987	bên quê : tập truyện_ngắn .
1987	mùa ca cao .
1987	bí_mật đại_não .
1987	 công_dân giáo_dục , lớp đệ lục . in lẩn thứ 1 
1987	câu_lạc_bộ chiền sĩ
1987	châm_cứu học [ của ] viện đông_y
1987	nghĩ cạnh dòng thơ : tiểu_luận .
1987	bàn vể phân_công lại lao_động xã_hội & việt nam .
1987	một sô vàn để vể đổi mói công_tác kè hoạch hóa và xây_dựng kè hoạch ờ cơ sờ và huyện .
1987	 công_dân giáo_dục , lớp đệ thẫt . in lẩn thứ 1 . 
1987	tỉm hiếu phong_trào đổng khổi ó miển nam việt nam .
1987	chiền cụ do việt_cộng đã xứ dụng tại miẽn nam hoặc có_thể đang được xứ dụng tại miền bắc việt nam . war material used by the viet cong in south viet nam or presumably available to north vietnam .
1987	 chiền dẫu báo vệ thà khẹc : tập truyện và ký ; các tác giá , xinh ca pô xi khôt chu la ma ni ; người dịch , hùng phi . 
1987	chièn hào biên giói : tập thơ_văn
1987	chiền thắng lịch sứ điện biên phú : một sồ văn_kiện đảng .
1987	chiền tháng mật khu bời_lời
1987	chiểu sâu quê_hương : truyện vả ký [ của ] nhiểu tác giá
1987	những ngả đường : thơ .
1987	cô_gái đổ long : truyện dã_sử võ hiệp trung hoa . dịch giá tử khánh phụng tức tiển phong .
1987	 ma nữ đa tinh : truyện võ hiệp trung hoa ; nguyên_tác , kim dung ; dịch_thuật , thương lan . los alamitos , ca , vietnam [ 19 ] pl248 . 
1987	 thiên long bát bộ : bán dịch của hàn giang nhạn , tức thứ lang . 
1987	 chinh quyển quôc gia là gì ? phòng nghiên huẫn , nha thông_tin t . v . 
1987	tinh thẩn binh đẳng của đạo phật
1987	ngoài phòng_thí_nghiệm : truyện .
1987	chủ để chân_dung tình_yêu
1987	thanh_niên trong các lực_lượng_vũ_trang với sự_nghiệp bảo_vệ tổ quôc và xây_dựng đầt nước .
1987	chư kinh tập yêu
1987	đôi ngả thời_gian : truyện và ký .
1987	người im_lặng : tập truyện .
1987	vùng đầt xa_xăm : tập truyện .
1987	 chủ_nghĩa_cộng_sản_khoa_học : chương trinh trung câp ; vụ biên_soạn , ban tuyên huẵn trung_ương . 
1987	 chủ_nghĩa mao và văn_hóa , vãn nghệ trung quôc của quang đạm and others , 
1987	bão bién : tiẻu thuyẽt . in lần thứ 2 .
1987	bông hoa tráng ; tập truyện_ngắn . in lần thứ l .
1987	biến xanh ; tiểu thuyềt .
1987	người vợ trè : tiểu thuyềt .
1987	chủ_nghĩa_tư_bản độc quyển nhà_nước
1987	tự_điển hóa_học . v . [ 2 ]
1987	 chủ_nghĩa_xã_hội khoa_học : chương_trình trung cẵp ; vụ biên_sọan , ban tuyên huần trung_ương . in lẩn thứ 2 
1987	 chủng tôi làm công_tác chi_đoàn , [ s 
1987	 thơ_văn yêu nước và cách_mạng , đẩu thề kỷ xx , ( 1900 1930 ) . in lần thứ 1 . 
1987	chuyện chị tham_mưu trưỏmg : tập truyện_ngắn
1987	cẩm_nang gia_chánh làm bep .
